Worksheet Filter,Median Sale Price,Period End,Property Type,Region,Region Type,State Code
Value,$732K,4/30/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$680K,11/30/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$700K,4/30/2019,All Residential,"Seattle, WA",Place/City,WA
Value,$164K,12/31/2016,All Residential,"Jacksonville, FL",Place/City,FL
Value,$290K,4/30/2017,All Residential,"Miami, FL",Place/City,FL
Value,$183K,5/31/2017,All Residential,"Jacksonville, FL",Place/City,FL
Value,$188K,6/30/2017,All Residential,"Jacksonville, FL",Place/City,FL
Value,$182K,1/31/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$300K,1/31/2019,All Residential,"Miami, FL",Place/City,FL
Value,$160K,5/31/2012,All Residential,"Atlanta, GA",Place/City,GA
Value,$189K,3/31/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$225K,3/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$230K,5/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$233K,8/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$220K,9/30/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$235K,12/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$250K,11/30/2017,All Residential,"Atlanta, GA",Place/City,GA
Value,$282K,4/30/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$267K,2/28/2019,All Residential,"Atlanta, GA",Place/City,GA
Value,$295K,3/31/2019,All Residential,"Atlanta, GA",Place/City,GA
Value,$169K,12/31/2012,All Residential,"Chicago, IL",Place/City,IL
Value,$253K,6/30/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$250K,5/31/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$278K,3/31/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$285K,4/30/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$286K,11/30/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$325K,6/30/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$320K,7/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$170K,2/28/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$227K,8/31/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$245K,4/30/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$257K,3/31/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$188K,6/30/2013,All Residential,"Charlotte, NC",Place/City,NC
Value,$179K,7/31/2013,All Residential,"Charlotte, NC",Place/City,NC
Value,$187K,7/31/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$182K,12/31/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$230K,12/31/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$238K,12/31/2018,All Residential,"Charlotte, NC",Place/City,NC
Value,$250K,3/31/2019,All Residential,"Charlotte, NC",Place/City,NC
Value,$608K,5/31/2018,All Residential,"New York, NY",Place/City,NY
Value,$601K,2/28/2019,All Residential,"New York, NY",Place/City,NY
Value,$129K,7/31/2014,All Residential,"Cincinnati, OH",Place/City,OH
Value,$134K,8/31/2015,All Residential,"Cincinnati, OH",Place/City,OH
Value,$204K,3/31/2015,All Residential,"Nashville, TN",Place/City,TN
Value,$217K,1/31/2016,All Residential,"Nashville, TN",Place/City,TN
Value,$229K,3/31/2016,All Residential,"Nashville, TN",Place/City,TN
Value,$270K,1/31/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$298K,7/31/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$286K,8/31/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$215K,1/31/2012,All Residential,"Austin, TX",Place/City,TX
Value,$253K,5/31/2012,All Residential,"Austin, TX",Place/City,TX
Value,$220K,6/30/2012,All Residential,"Dallas, TX",Place/City,TX
Value,$160K,3/31/2013,All Residential,"Houston, TX",Place/City,TX
Value,$165K,10/31/2013,All Residential,"Houston, TX",Place/City,TX
Value,$185K,12/31/2013,All Residential,"Houston, TX",Place/City,TX
Value,$159K,1/31/2014,All Residential,"Houston, TX",Place/City,TX
Value,$294K,7/31/2014,All Residential,"Austin, TX",Place/City,TX
Value,$191K,7/31/2014,All Residential,"Houston, TX",Place/City,TX
Value,$324K,4/30/2015,All Residential,"Austin, TX",Place/City,TX
Value,$265K,4/30/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$203K,7/31/2015,All Residential,"Houston, TX",Place/City,TX
Value,$337K,1/31/2018,All Residential,"Austin, TX",Place/City,TX
Value,$360K,3/31/2018,All Residential,"Austin, TX",Place/City,TX
Value,$220K,4/30/2018,All Residential,"Houston, TX",Place/City,TX
Value,$347K,1/31/2019,All Residential,"Austin, TX",Place/City,TX
Value,$387K,4/30/2019,All Residential,"Austin, TX",Place/City,TX
Value,$214K,2/28/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$235K,9/30/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$240K,4/30/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$167K,8/31/2015,All Residential,"Newport News, VA",Place/City,VA
Value,$243K,1/31/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$247K,4/30/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$244K,5/31/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$255K,6/30/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$258K,7/31/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$174K,6/30/2017,All Residential,"Newport News, VA",Place/City,VA
Value,$250K,10/31/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$265K,5/31/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$256K,9/30/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$270K,4/30/2019,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$380K,6/30/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$386K,11/30/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$435K,11/30/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$490K,9/30/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$635K,5/31/2017,All Residential,"Seattle, WA",Place/City,WA
Value,$700K,1/31/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$700K,2/28/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$749K,5/31/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$680K,8/31/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$225K,9/30/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$215K,3/31/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$245K,5/31/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$243K,9/30/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$174K,3/31/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$203K,5/31/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$205K,6/30/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$192K,7/31/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$189K,8/31/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$225K,5/31/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$214K,9/30/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$229K,2/28/2018,All Residential,"Charlotte, NC",Place/City,NC
Value,$248K,5/31/2018,All Residential,"Charlotte, NC",Place/City,NC
Value,$264K,4/30/2019,All Residential,"Charlotte, NC",Place/City,NC
Value,$575K,8/31/2016,All Residential,"New York, NY",Place/City,NY
Value,$625K,1/31/2019,All Residential,"New York, NY",Place/City,NY
Value,$138K,6/30/2015,All Residential,"Cincinnati, OH",Place/City,OH
Value,$141K,1/31/2019,All Residential,"Cincinnati, OH",Place/City,OH
Value,$240K,8/31/2016,All Residential,"Nashville, TN",Place/City,TN
Value,$164K,12/31/2012,All Residential,"Houston, TX",Place/City,TX
Value,$138K,1/31/2013,All Residential,"Houston, TX",Place/City,TX
Value,$250K,5/31/2013,All Residential,"Dallas, TX",Place/City,TX
Value,$275K,6/30/2013,All Residential,"Austin, TX",Place/City,TX
Value,$170K,9/30/2013,All Residential,"Houston, TX",Place/City,TX
Value,$240K,9/30/2014,All Residential,"Dallas, TX",Place/City,TX
Value,$180K,9/30/2014,All Residential,"Houston, TX",Place/City,TX
Value,$200K,1/31/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$315K,8/31/2015,All Residential,"Austin, TX",Place/City,TX
Value,$189K,10/31/2015,All Residential,"Houston, TX",Place/City,TX
Value,$295K,11/30/2016,All Residential,"Dallas, TX",Place/City,TX
Value,$226K,3/31/2019,All Residential,"Houston, TX",Place/City,TX
Value,$250K,12/31/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$180K,6/30/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$175K,7/31/2017,All Residential,"Newport News, VA",Place/City,VA
Value,$180K,4/30/2018,All Residential,"Newport News, VA",Place/City,VA
Value,$185K,7/31/2018,All Residential,"Newport News, VA",Place/City,VA
Value,$180K,4/30/2019,All Residential,"Newport News, VA",Place/City,VA
Value,$366K,10/31/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$418K,8/31/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$510K,6/30/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$540K,3/31/2016,All Residential,"Seattle, WA",Place/City,WA
Value,$575K,6/30/2016,All Residential,"Seattle, WA",Place/City,WA
Value,$700K,9/30/2018,All Residential,"Seattle, WA",Place/City,WA
Value,$154K,1/31/2016,All Residential,"Newport News, VA",County,VA
Value,$138K,10/31/2012,All Residential,"Phoenix, AZ",Place/City,AZ
Value,$252K,2/28/2019,All Residential,"Phoenix, AZ",Place/City,AZ
Value,$365K,9/30/2012,All Residential,"Los Angeles, CA",Place/City,CA
Value,$620K,2/28/2017,All Residential,"Los Angeles, CA",Place/City,CA
Value,$631K,3/31/2017,All Residential,"Los Angeles, CA",Place/City,CA
Value,$730K,6/30/2018,All Residential,"Los Angeles, CA",Place/City,CA
Value,$130K,2/29/2012,All Residential,"Chicago, IL",Place/City,IL
Value,$190K,11/30/2013,All Residential,"Chicago, IL",Place/City,IL
Value,$275K,7/31/2015,All Residential,"Chicago, IL",Place/City,IL
Value,$236K,10/31/2015,All Residential,"Chicago, IL",Place/City,IL
Value,$255K,11/30/2017,All Residential,"Chicago, IL",Place/City,IL
Value,$260K,2/28/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$263K,2/28/2019,All Residential,"Chicago, IL",Place/City,IL
Value,$168K,10/31/2017,All Residential,"Louisville, KY",Place/City,KY
Value,$188K,6/30/2018,All Residential,"Louisville, KY",Place/City,KY
Value,$371K,1/31/2012,All Residential,"Boston, MA",Place/City,MA
Value,$468K,7/31/2014,All Residential,"Boston, MA",Place/City,MA
Value,$535K,8/31/2015,All Residential,"Boston, MA",Place/City,MA
Value,$580K,7/31/2016,All Residential,"Boston, MA",Place/City,MA
Value,$208K,11/30/2016,All Residential,"Charlotte, NC",Place/City,NC
Value,$530K,5/31/2016,All Residential,"New York, NY",Place/City,NY
Value,$600K,3/31/2018,All Residential,"New York, NY",Place/City,NY
Value,$570K,4/30/2019,All Residential,"New York, NY",Place/City,NY
Value,$126K,9/30/2014,All Residential,"Cincinnati, OH",Place/City,OH
Value,$107K,1/31/2015,All Residential,"Cincinnati, OH",Place/City,OH
Value,$113K,2/28/2015,All Residential,"Cincinnati, OH",Place/City,OH
Value,$133K,8/31/2016,All Residential,"Cincinnati, OH",Place/City,OH
Value,$164K,7/31/2018,All Residential,"Cincinnati, OH",Place/City,OH
Value,$150K,3/31/2014,All Residential,"Newport News, VA",Place/City,VA
Value,$147K,4/30/2014,All Residential,"Newport News, VA",Place/City,VA
Value,$250K,12/31/2015,All Residential,"Virginia Beach, VA",County,VA
Value,$256K,8/31/2017,All Residential,"Virginia Beach, VA",County,VA
Value,$245K,12/31/2017,All Residential,"Virginia Beach, VA",County,VA
Value,$256K,9/30/2018,All Residential,"Virginia Beach, VA",County,VA
Value,$171K,9/30/2013,All Residential,"Phoenix, AZ",Place/City,AZ
Value,$200K,2/29/2016,All Residential,"Phoenix, AZ",Place/City,AZ
Value,$247K,9/30/2018,All Residential,"Phoenix, AZ",Place/City,AZ
Value,$768K,9/30/2012,All Residential,"San Francisco, CA",Place/City,CA
Value,$820K,10/31/2012,All Residential,"San Francisco, CA",Place/City,CA
Value,$880K,7/31/2013,All Residential,"San Francisco, CA",Place/City,CA
Value,$876K,9/30/2013,All Residential,"San Francisco, CA",Place/City,CA
Value,$425K,11/30/2013,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,005K",4/30/2014,All Residential,"San Francisco, CA",Place/City,CA
Value,"$1,050K",5/31/2014,All Residential,"San Francisco, CA",Place/City,CA
Value,$459K,1/31/2015,All Residential,"San Diego, CA",Place/City,CA
Value,$997K,1/31/2015,All Residential,"San Francisco, CA",Place/City,CA
Value,$535K,1/31/2017,All Residential,"San Diego, CA",Place/City,CA
Value,$540K,2/28/2017,All Residential,"San Diego, CA",Place/City,CA
Value,$545K,3/31/2017,All Residential,"San Diego, CA",Place/City,CA
Value,$555K,5/31/2017,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,310K",6/30/2017,All Residential,"San Francisco, CA",Place/City,CA
Value,$555K,1/31/2018,All Residential,"San Diego, CA",Place/City,CA
Value,$565K,2/28/2018,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,311K",2/28/2019,All Residential,"San Francisco, CA",Place/City,CA
Value,$289K,5/31/2014,All Residential,"Denver, CO",Place/City,CO
Value,$282K,7/31/2014,All Residential,"Denver, CO",Place/City,CO
Value,$275K,12/31/2014,All Residential,"Denver, CO",Place/City,CO
Value,$281K,1/31/2015,All Residential,"Denver, CO",Place/City,CO
Value,$301K,2/28/2015,All Residential,"Denver, CO",Place/City,CO
Value,$360K,5/31/2016,All Residential,"Denver, CO",Place/City,CO
Value,$160K,10/31/2012,All Residential,"Miami, FL",Place/City,FL
Value,$205K,9/30/2013,All Residential,"Miami, FL",Place/City,FL
Value,$220K,10/31/2014,All Residential,"Miami, FL",Place/City,FL
Value,$150K,12/31/2014,All Residential,"Jacksonville, FL",Place/City,FL
Value,$160K,6/30/2015,All Residential,"Jacksonville, FL",Place/City,FL
Value,$141K,11/30/2015,All Residential,"Jacksonville, FL",Place/City,FL
Value,$170K,7/31/2016,All Residential,"Jacksonville, FL",Place/City,FL
Value,$268K,11/30/2016,All Residential,"Miami, FL",Place/City,FL
Value,$283K,5/31/2017,All Residential,"Miami, FL",Place/City,FL
Value,$192K,4/30/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$202K,6/30/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$175K,7/31/2012,All Residential,"Atlanta, GA",Place/City,GA
Value,$165K,11/30/2012,All Residential,"Atlanta, GA",Place/City,GA
Value,$230K,10/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$269K,5/31/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$295K,5/31/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$201K,12/31/2013,All Residential,"Chicago, IL",Place/City,IL
Value,$220K,11/30/2014,All Residential,"Chicago, IL",Place/City,IL
Value,$239K,12/31/2015,All Residential,"Chicago, IL",Place/City,IL
Value,$299K,5/31/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$252K,9/30/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$290K,6/30/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$280K,1/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$311K,4/30/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$323K,10/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$326K,12/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$340K,6/30/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$346K,11/30/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$168K,3/31/2013,All Residential,"Minneapolis, MN",Place/City,MN
Value,$175K,4/30/2013,All Residential,"Minneapolis, MN",Place/City,MN
Value,$216K,8/31/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$210K,9/30/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$191K,1/31/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$225K,7/31/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$228K,10/31/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$235K,11/30/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$222K,1/31/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$256K,7/31/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$249K,2/28/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$275K,6/30/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$270K,7/31/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$286K,4/30/2019,All Residential,"Minneapolis, MN",Place/City,MN
Value,$358K,2/28/2018,All Residential,"Austin, TX",Place/City,TX
Value,$325K,3/31/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$383K,4/30/2018,All Residential,"Austin, TX",Place/City,TX
Value,$313K,4/30/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$330K,7/31/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$215K,10/31/2018,All Residential,"Houston, TX",Place/City,TX
Value,$365K,11/30/2018,All Residential,"Austin, TX",Place/City,TX
Value,$217K,11/30/2018,All Residential,"Houston, TX",Place/City,TX
Value,$374K,3/31/2019,All Residential,"Austin, TX",Place/City,TX
Value,$240K,4/30/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$232K,2/28/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$240K,5/31/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$244K,6/30/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$180K,7/31/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$250K,1/31/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$180K,9/30/2018,All Residential,"Newport News, VA",Place/City,VA
Value,$165K,1/31/2019,All Residential,"Newport News, VA",Place/City,VA
Value,$415K,9/30/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$438K,12/31/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$525K,12/31/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$600K,2/28/2017,All Residential,"Seattle, WA",Place/City,WA
Value,$255K,9/30/2016,All Residential,"Chicago, IL",Place/City,IL
Value,$280K,8/31/2017,All Residential,"Chicago, IL",Place/City,IL
Value,$270K,10/31/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$286K,3/31/2019,All Residential,"Chicago, IL",Place/City,IL
Value,$350K,12/31/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$375K,3/31/2019,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$179K,12/31/2013,All Residential,"Minneapolis, MN",Place/City,MN
Value,$210K,10/31/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$177K,8/31/2013,All Residential,"Charlotte, NC",Place/City,NC
Value,$165K,2/28/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$182K,8/31/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$167K,1/31/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$219K,8/31/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$230K,10/31/2018,All Residential,"Charlotte, NC",Place/City,NC
Value,$238K,2/28/2019,All Residential,"Charlotte, NC",Place/City,NC
Value,$570K,2/28/2017,All Residential,"New York, NY",Place/City,NY
Value,$590K,3/31/2017,All Residential,"New York, NY",Place/City,NY
Value,$555K,4/30/2017,All Residential,"New York, NY",Place/City,NY
Value,$619K,8/31/2017,All Residential,"New York, NY",Place/City,NY
Value,$599K,12/31/2017,All Residential,"New York, NY",Place/City,NY
Value,$600K,4/30/2018,All Residential,"New York, NY",Place/City,NY
Value,$113K,5/31/2012,All Residential,"Cincinnati, OH",Place/City,OH
Value,$120K,11/30/2015,All Residential,"Cincinnati, OH",Place/City,OH
Value,$221K,6/30/2015,All Residential,"Nashville, TN",Place/City,TN
Value,$292K,11/30/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$221K,5/31/2012,All Residential,"Dallas, TX",Place/City,TX
Value,$254K,6/30/2012,All Residential,"Austin, TX",Place/City,TX
Value,$180K,6/30/2013,All Residential,"Houston, TX",Place/City,TX
Value,$200K,6/30/2014,All Residential,"Houston, TX",Place/City,TX
Value,$333K,9/30/2016,All Residential,"Austin, TX",Place/City,TX
Value,$205K,9/30/2016,All Residential,"Houston, TX",Place/City,TX
Value,$325K,3/31/2017,All Residential,"Dallas, TX",Place/City,TX
Value,$210K,3/31/2017,All Residential,"Houston, TX",Place/City,TX
Value,$210K,7/31/2017,All Residential,"Houston, TX",Place/City,TX
Value,$244K,11/30/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$242K,8/31/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$250K,9/30/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$239K,10/31/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$168K,12/31/2015,All Residential,"Newport News, VA",Place/City,VA
Value,$155K,1/31/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$260K,11/30/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$170K,2/28/2019,All Residential,"Newport News, VA",Place/City,VA
Value,$253K,3/31/2019,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$376K,5/31/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$356K,8/31/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$389K,4/30/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$413K,6/30/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$400K,12/31/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$409K,3/31/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$448K,6/30/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$455K,1/31/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$503K,7/31/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$480K,10/31/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$569K,9/30/2016,All Residential,"Seattle, WA",Place/City,WA
Value,$569K,10/31/2016,All Residential,"Seattle, WA",Place/City,WA
Value,$575K,1/31/2017,All Residential,"Seattle, WA",Place/City,WA
Value,$705K,3/31/2018,All Residential,"Seattle, WA",Place/City,WA
